customer_id,date,start_time,duration_secs,call_type,destination,direction
CUST-001,2026-03-01,09:15:00,185,local,555-100-0001,outbound
CUST-001,2026-03-01,14:22:00,312,local,555-100-0002,outbound
CUST-001,2026-03-02,10:05:00,240,local,555-100-0003,inbound
CUST-001,2026-03-03,11:30:00,450,local,555-100-0004,outbound
CUST-001,2026-03-05,08:45:00,125,local,555-100-0005,outbound
CUST-001,2026-03-07,16:10:00,380,local,555-100-0006,outbound
CUST-001,2026-03-10,13:55:00,220,local,555-100-0007,outbound
CUST-001,2026-03-12,09:30:00,195,local,555-100-0008,inbound
CUST-001,2026-03-15,15:20:00,405,local,555-100-0009,outbound
CUST-001,2026-03-18,11:00:00,165,local,555-100-0010,outbound
CUST-001,2026-03-20,14:45:00,280,local,555-100-0011,outbound
CUST-001,2026-03-22,10:15:00,340,local,555-100-0012,outbound
CUST-001,2026-03-25,09:00:00,210,local,555-100-0013,outbound
CUST-001,2026-03-28,13:30:00,295,local,555-100-0014,outbound
CUST-001,2026-03-30,16:45:00,175,local,555-100-0015,outbound
CUST-002,2026-03-01,08:00:00,1820,conference,555-200-0001,outbound
CUST-002,2026-03-02,09:30:00,945,conference,555-200-0002,outbound
CUST-002,2026-03-03,10:00:00,720,local,555-200-0003,outbound
CUST-002,2026-03-05,11:15:00,1200,conference,555-200-0004,outbound
CUST-002,2026-03-08,14:00:00,540,local,555-200-0005,outbound
CUST-002,2026-03-10,09:00:00,2100,conference,555-200-0006,outbound
CUST-002,2026-03-12,15:30:00,480,local,555-200-0007,outbound
CUST-002,2026-03-15,08:30:00,1560,conference,555-200-0008,outbound
CUST-002,2026-03-18,10:45:00,390,local,555-200-0009,outbound
CUST-002,2026-03-20,13:00:00,1080,conference,555-200-0010,outbound
CUST-003,2026-03-01,10:00:00,250,local,555-300-0001,outbound
CUST-003,2026-03-03,14:00:00,320,local,555-300-0002,outbound
CUST-003,2026-03-05,09:30:00,180,local,555-300-0003,outbound
CUST-003,2026-03-08,11:15:00,290,local,555-300-0004,outbound
CUST-003,2026-03-10,16:00:00,415,local,555-300-0005,outbound
CUST-003,2026-03-12,08:45:00,360,local,555-300-0006,outbound
CUST-003,2026-03-15,13:20:00,195,local,555-300-0007,outbound
CUST-003,2026-03-18,10:00:00,275,local,555-300-0008,outbound
CUST-003,2026-03-20,14:30:00,340,local,555-300-0009,outbound
CUST-003,2026-03-22,09:15:00,210,local,555-300-0010,outbound
CUST-003,2026-03-25,11:45:00,385,local,555-300-0011,outbound
CUST-003,2026-03-28,15:00:00,230,local,555-300-0012,outbound
CUST-004,2026-03-01,09:00:00,350,local,555-400-0001,outbound
CUST-004,2026-03-04,10:30:00,420,local,555-400-0002,outbound
CUST-004,2026-03-07,14:00:00,180,local,555-400-0003,outbound
CUST-004,2026-03-10,11:15:00,510,local,555-400-0004,outbound
CUST-004,2026-03-13,09:45:00,280,local,555-400-0005,outbound
CUST-004,2026-03-16,15:30:00,390,local,555-400-0006,outbound
CUST-004,2026-03-19,10:00:00,445,local,555-400-0007,outbound
CUST-004,2026-03-22,13:15:00,320,local,555-400-0008,outbound
CUST-004,2026-03-25,08:30:00,260,local,555-400-0009,outbound
CUST-004,2026-03-28,11:45:00,375,local,555-400-0010,outbound
CUST-005,2026-03-01,10:30:00,125,local,555-500-0001,outbound
CUST-005,2026-03-05,14:00:00,210,local,555-500-0002,outbound
CUST-005,2026-03-10,09:15:00,180,local,555-500-0003,outbound
CUST-005,2026-03-15,11:30:00,240,local,555-500-0004,outbound
CUST-005,2026-03-20,16:00:00,165,local,555-500-0005,outbound
CUST-005,2026-03-25,10:45:00,290,local,555-500-0006,outbound
